0,0,0,0,10,10,10,0,1,7
90,70,40,90,30,10,20,40,0,2999
90,0,0,0,90,10,60,0,1,1
0,0,90,90,10,10,90,10,1,7
0,90,0,0,10,80,10,0,1,140
40,0,0,0,10,10,10,0,1,2
0,0,0,90,10,10,70,0,1,2
40,90,90,0,10,10,10,90,0,2999
0,80,0,10,10,10,10,0,1,55
90,0,20,0,10,10,10,90,1,3
30,0,90,30,10,10,10,0,1,4
80,0,0,20,10,10,10,0,1,1
0,80,90,90,10,10,50,0,1,52
60,80,90,70,10,10,90,90,0,2999
90,90,0,10,10,10,60,90,1,1280
0,90,90,90,10,10,10,50,0,2999
90,10,90,50,10,10,10,90,0,2999
20,30,30,30,10,10,10,40,0,2999
90,10,30,90,10,10,80,90,1,3
90,90,90,60,90,10,10,90,0,2999
90,70,20,10,50,10,10,90,0,2999
0,90,0,0,20,10,10,90,0,2999
0,90,90,30,90,10,10,60,0,2999
50,90,90,90,90,10,10,0,1,37
50,20,90,0,80,10,10,90,0,2999
20,20,90,90,60,10,10,90,0,2999
0,90,0,90,10,10,70,90,0,2999
90,0,0,60,90,10,10,20,1,2
0,90,10,80,90,10,10,90,0,2999
0,90,90,90,90,10,90,90,0,2999
0,70,70,0,50,10,90,90,1,1545
0,90,0,90,10,10,10,0,1,59
90,90,20,90,90,10,70,90,1,2020
50,20,30,90,20,10,60,90,1,1565
0,90,50,10,10,10,90,90,0,2999
50,60,90,90,90,10,10,20,0,2999
80,90,90,70,10,50,10,90,0,2999
0,90,90,90,60,80,10,90,0,2999
20,90,10,70,10,80,10,90,0,2999
0,40,80,40,10,60,30,90,1,2332
60,90,90,0,80,10,70,90,0,2999
0,80,90,0,10,10,10,10,0,2999
0,0,90,10,10,10,10,90,1,754
90,60,90,20,50,10,10,30,0,2999
50,60,40,70,70,10,60,90,0,2999
0,90,60,10,50,70,10,90,0,2999
20,80,90,50,10,80,10,40,0,2999
0,90,70,80,10,60,70,80,1,2207
20,50,20,10,90,10,10,70,0,2999
80,90,90,0,70,70,10,90,0,2999
80,90,80,90,90,90,10,90,0,2999
90,10,60,70,90,10,10,90,0,2999
50,30,40,50,40,60,10,90,0,2999
90,90,0,90,90,10,10,90,0,2999
0,90,30,60,50,10,10,20,0,2999
70,90,40,10,10,90,10,90,0,2999
50,90,10,30,90,70,10,90,0,2999
90,70,0,90,50,90,10,90,1,1069
40,30,70,20,20,10,60,90,0,2999
90,20,30,0,90,10,10,40,0,2999
40,50,0,90,10,10,10,90,0,2999
60,30,90,0,10,60,10,60,0,2999
80,90,90,0,30,90,10,20,0,2999
30,30,90,0,90,10,10,10,0,2999
90,90,90,90,80,40,80,90,1,2495
90,90,40,0,90,50,10,30,0,2999
90,80,90,0,10,50,60,90,1,2040
0,90,40,20,90,20,70,90,1,1172
90,90,20,90,40,70,20,90,1,2244
20,10,10,80,80,10,10,90,1,1627
90,20,90,90,50,10,70,90,1,1558
50,70,0,30,10,10,60,90,1,1743
20,50,50,0,10,70,10,0,1,63
0,80,70,70,10,50,60,90,1,2483
30,90,90,0,90,70,10,30,0,2999
40,90,40,0,40,20,30,40,0,2999
0,90,90,50,40,40,60,70,1,1755
90,20,90,30,90,70,10,90,1,1668
0,90,0,0,90,10,10,10,1,1960
40,60,90,50,90,60,40,90,1,715
50,30,90,80,20,10,10,30,0,2999
0,50,70,90,10,10,60,90,0,2999
90,90,60,0,10,10,60,90,0,2999
90,90,0,60,10,40,10,80,0,2999
0,30,90,40,10,40,10,90,0,2999
90,30,90,90,50,10,60,90,1,2022
90,90,90,70,60,60,10,30,0,2999
60,90,80,50,10,10,50,30,0,2999
90,20,40,0,10,10,10,50,0,2999
40,10,90,0,10,10,10,0,1,10
40,90,40,90,60,50,20,60,0,2999
0,20,20,70,60,10,10,80,1,2366
90,90,90,90,90,10,80,90,0,2999
0,90,70,50,50,10,70,50,1,2470
40,90,90,60,90,50,50,90,1,1622
10,80,0,0,10,80,10,60,0,2999
40,50,90,50,90,60,10,80,0,2999
30,60,50,0,10,70,10,10,1,307
50,40,0,0,10,40,10,90,0,2999
0,90,40,20,80,20,60,90,1,1470
20,90,90,50,40,40,50,80,0,2999
40,40,90,90,10,90,10,90,0,2999
90,40,40,0,90,60,10,90,0,2999
90,90,50,0,10,10,10,0,1,14
70,70,20,50,90,10,10,40,0,2999
0,40,40,90,10,50,10,70,0,2999
0,10,50,0,40,10,10,90,1,2148
90,40,90,40,40,90,10,90,0,2999
90,40,90,40,70,10,60,90,0,2999
40,90,20,40,20,30,50,90,1,2757
0,90,50,10,80,10,60,90,0,2999
50,60,40,10,50,80,10,40,0,2999
90,60,40,90,10,90,10,90,0,2999
90,90,30,0,90,10,60,70,0,2999
70,90,30,90,10,10,60,90,0,2999
90,90,50,40,10,50,10,30,0,2999
90,90,90,90,10,20,10,0,1,23
0,50,20,40,30,10,50,90,1,1703
90,90,50,50,60,50,40,90,0,2999
40,0,50,80,10,10,10,80,1,370
90,70,0,0,50,10,10,20,0,2999
0,30,60,50,70,10,10,40,0,2999
0,90,70,90,90,10,40,40,0,2999
90,10,80,50,90,10,10,20,0,2999
90,50,90,10,90,60,10,0,1,23
90,20,10,60,40,10,10,90,0,2999
0,90,30,40,10,40,40,60,1,2968
0,40,40,90,10,10,10,10,0,2999
0,50,90,0,50,10,40,60,1,2757
80,40,90,0,90,60,10,40,0,2999
90,40,90,90,50,40,20,70,0,2999
30,30,20,90,80,10,10,70,0,2999
90,50,30,90,90,60,10,90,0,2999
30,90,90,30,70,10,10,0,0,2999
0,90,40,0,90,20,10,20,0,2999
0,50,20,50,40,10,30,90,0,2999
70,90,80,40,90,10,50,40,0,2999
0,80,50,50,10,10,60,40,0,2999
40,90,90,0,10,70,40,70,0,2999
20,40,50,0,10,90,10,90,0,2999
90,20,40,0,10,90,10,90,1,2286
20,90,90,0,20,10,70,40,0,2999
40,20,90,10,20,10,10,20,0,2999
90,80,0,0,50,70,20,70,1,1018
10,50,80,0,50,30,20,60,1,2380
30,90,0,50,10,30,10,50,0,2999
0,80,0,0,10,10,10,20,0,2999
90,30,20,20,90,10,50,90,1,1038
0,80,50,50,90,60,10,50,0,2999
0,90,30,90,90,90,10,90,0,2999
