0.8133,0.9507,0.4695
0.7269,0.9297,0.3512
0.8315,0.9553,0.5016
0.816,0.9514,0.4717
0.7848,0.9419,0.4747
0.775,0.9381,0.5809
0.7837,0.9405,0.5767
0.7364,0.9285,0.4643
0.7352,0.9282,0.4575
0.7303,0.9273,0.4258
0.715,0.9226,0.5039
0.7196,0.9238,0.5007
0.715,0.9226,0.5145
0.715,0.9226,0.5144
0.6977,0.9181,0.5204
0.6972,0.918,0.5186
0.7077,0.9206,0.5363
0.728,0.9258,0.5689
0.7555,0.9328,0.6017
0.7659,0.9355,0.6144
0.7379,0.9283,0.5747
0.7455,0.9303,0.5862
0.7738,0.9376,0.6304
0.7755,0.938,0.6318
0.7876,0.9412,0.6502
0.7773,0.9384,0.6525
0.7793,0.939,0.6546
0.7793,0.939,0.6546
0.8033,0.9453,0.6958
0.8163,0.9488,0.6981
0.8184,0.9494,0.7
0.8273,0.9518,0.697
0.8365,0.9544,0.6968
0.8379,0.9547,0.7095
0.8442,0.9565,0.7059
0.8467,0.9572,0.7046
0.8474,0.9574,0.6948
0.8467,0.9572,0.6919
0.846,0.9571,0.6907
0.851,0.9585,0.6833
0.8454,0.957,0.6807
0.8508,0.9585,0.6795
0.8494,0.9579,0.7028
0.8527,0.9588,0.7191
0.8601,0.9609,0.7179
0.8587,0.9604,0.7289
0.8612,0.9611,0.7288
0.8617,0.9613,0.7303
0.8584,0.9603,0.7359
0.8583,0.9603,0.7297
0.863,0.9616,0.7262
0.8672,0.9628,0.7254
0.8689,0.9634,0.7212
0.8689,0.9633,0.7214
0.8723,0.9643,0.7219
0.8736,0.9647,0.7259
0.8736,0.9647,0.7261
0.8707,0.9638,0.7261
0.8691,0.9634,0.7269
0.8713,0.964,0.723
0.8702,0.9638,0.713
0.8717,0.9643,0.7049
0.8717,0.9643,0.7049
0.8705,0.9638,0.7183
0.8743,0.9649,0.7201
0.8753,0.9652,0.7175
0.8771,0.9657,0.7191
0.8829,0.9674,0.7179
0.8778,0.9659,0.7186
0.8768,0.9656,0.7245
0.8775,0.9658,0.729
0.8725,0.9643,0.7286
0.8704,0.9637,0.733
0.8684,0.9631,0.7371
0.8697,0.9635,0.7376
0.87,0.9636,0.7373
0.8689,0.9633,0.7336
0.8685,0.9632,0.7329
0.8704,0.9637,0.7324
0.8706,0.9638,0.7307
0.8707,0.9638,0.7287
0.8687,0.9632,0.7296
0.8702,0.9637,0.7283
0.8676,0.9629,0.7306
0.8675,0.9629,0.7305
0.8683,0.9631,0.7298
0.8682,0.9631,0.7297
0.8706,0.9638,0.7311
0.8717,0.9641,0.7304
0.8718,0.9641,0.7305
0.8717,0.9641,0.7304
0.8717,0.9641,0.7304
0.8739,0.9647,0.7304
0.8745,0.9649,0.7305
0.8756,0.9652,0.7278
0.8716,0.9641,0.7265
0.8691,0.9634,0.727
0.8698,0.9636,0.7261
0.8713,0.964,0.7267
0.8757,0.9652,0.7292
0.8791,0.9662,0.7306
0.8814,0.9669,0.7307
0.8813,0.9668,0.7303
0.8795,0.9663,0.7312
0.8797,0.9664,0.731
0.8799,0.9664,0.7335
0.8779,0.9659,0.7336
0.8779,0.9658,0.737
0.8758,0.9652,0.7375
0.879,0.9661,0.7398
0.8809,0.9667,0.7393
0.8809,0.9667,0.7393
0.8815,0.9668,0.7387
0.8816,0.9669,0.7389
0.8815,0.9668,0.742
0.881,0.9666,0.7449
0.8809,0.9666,0.7449
0.8808,0.9666,0.7448
0.8811,0.9667,0.7434
0.8817,0.9669,0.7437
0.8817,0.9669,0.7437
0.8827,0.9671,0.7434
0.8799,0.9664,0.7427
0.8794,0.9662,0.7436
0.8786,0.966,0.7416
0.8785,0.966,0.74
0.8762,0.9653,0.74
0.8761,0.9653,0.7399
0.8738,0.9646,0.7401
0.8731,0.9644,0.7434
0.8731,0.9644,0.7433
0.8749,0.9649,0.7442
0.8768,0.9655,0.7452
0.8755,0.9651,0.7453
0.8757,0.9651,0.7451
0.8758,0.9652,0.7449
0.8758,0.9652,0.7449
0.8762,0.9653,0.743
0.875,0.965,0.7431
0.8749,0.9649,0.7449
0.8734,0.9645,0.7454
0.8736,0.9645,0.7451
0.875,0.9649,0.7453
0.8762,0.9653,0.7448
0.8763,0.9653,0.7448
0.8758,0.9652,0.7453
0.8758,0.9652,0.7451
