pressure_time;pressure_radius;pressure_amplitude;young;density;strength;length;diameter;is_broken
2.930307;2.571470;199.835275;98.548611;1383.058682;4.261257;80.000000;0.100000;1
3.671247;4.824145;147.787517;100.120172;1347.431817;5.698403;80.000000;0.100000;1
4.756291;2.420030;105.143110;95.212997;1577.190456;3.714956;80.000000;0.100000;1
5.712111;1.696203;178.955800;130.984745;1564.481305;5.316540;80.000000;0.100000;1
8.690757;1.095233;145.819932;143.495579;1290.959847;5.031144;80.000000;0.100000;1
4.163083;0.880767;128.956706;154.633010;1208.904380;5.711596;80.000000;0.100000;1
4.412772;2.076011;116.794370;133.358298;1516.930762;5.220436;80.000000;0.100000;1
3.537156;3.434138;101.657063;125.448818;1233.259803;4.113492;80.000000;0.100000;1
4.909302;4.778600;169.383709;153.736923;1245.516569;3.807642;80.000000;0.100000;1
9.402845;4.556156;133.489452;136.059935;1217.113352;3.350656;80.000000;0.100000;1
3.375703;4.288709;180.603219;134.601274;1520.073358;2.125281;80.000000;0.100000;1
8.057705;1.249065;142.372939;142.370957;1335.991910;4.271584;80.000000;0.100000;1
1.957049;2.408877;187.393156;83.366154;1542.818879;4.410222;80.000000;0.100000;1
9.259579;2.824297;132.303604;108.843432;1442.933511;5.112479;80.000000;0.100000;1
5.691464;1.170152;178.496220;138.342828;1202.053506;4.663699;80.000000;0.100000;1
5.767697;0.931121;186.597361;112.375224;1442.394876;4.121061;80.000000;0.100000;1
4.446016;1.312630;109.939263;99.985821;1417.904924;2.623482;80.000000;0.100000;1
3.655545;4.199852;141.860186;125.563872;1382.352131;2.426545;80.000000;0.100000;1
6.931121;4.276737;195.880436;171.412220;1332.766247;4.229661;80.000000;0.100000;1
5.440477;3.205128;186.117759;125.206321;1521.992758;5.434886;80.000000;0.100000;1
5.388749;4.148111;186.284755;121.323805;1448.542348;2.315887;80.000000;0.100000;1
9.477676;4.898014;172.138286;170.388432;1506.590380;5.090079;80.000000;0.100000;1
1.897208;0.535158;126.116573;122.672505;1285.170594;2.913341;80.000000;0.100000;1
6.374332;1.747045;169.212040;92.061229;1247.811743;2.165011;80.000000;0.100000;1
3.939318;1.751834;198.058849;119.974198;1365.132683;4.550559;80.000000;0.100000;1
5.666477;0.435953;132.268101;159.726555;1529.102730;3.817436;80.000000;0.100000;1
1.121746;4.067023;130.619541;172.586859;1255.549321;5.129626;80.000000;0.100000;0
9.982748;2.465499;165.385431;88.426479;1225.057909;2.709802;80.000000;0.100000;1
2.120996;4.386152;106.542824;144.716662;1310.827455;3.389111;80.000000;0.100000;1
7.759387;4.222343;142.067037;100.949253;1353.840936;5.593197;80.000000;0.100000;1
8.142924;3.521837;191.760442;176.752865;1321.630447;4.792821;80.000000;0.100000;1
9.602142;4.432302;186.257136;118.870608;1482.883353;2.955824;80.000000;0.100000;1
2.402929;3.132586;196.004252;175.533635;1329.085268;5.607174;80.000000;0.100000;1
1.688119;4.315533;118.608212;153.921312;1319.505203;5.222876;80.000000;0.100000;0
2.374414;1.023794;119.969900;168.294850;1465.205794;2.001763;80.000000;0.100000;1
2.096508;2.612589;143.941449;111.919016;1525.162296;2.802551;80.000000;0.100000;1
1.529932;0.658503;117.465311;172.520429;1368.721180;5.366893;80.000000;0.100000;0
8.827927;1.126543;129.828893;99.424250;1213.397425;2.557340;80.000000;0.100000;1
9.933031;2.191373;116.281036;132.877904;1308.779425;4.857040;80.000000;0.100000;1
4.540365;2.896117;148.800214;97.979403;1567.805007;3.020420;80.000000;0.100000;1
2.602388;4.438865;185.147330;102.981820;1264.148591;3.956779;80.000000;0.100000;1
6.721928;2.407361;199.083877;125.034473;1461.675098;4.488612;80.000000;0.100000;1
6.761123;4.589675;127.215717;179.978389;1469.903711;2.241026;80.000000;0.100000;1
2.761166;4.298665;186.490369;152.699148;1377.568391;2.167891;80.000000;0.100000;1
3.867791;2.080620;190.506140;155.886565;1518.804945;2.258332;80.000000;0.100000;1
9.054168;1.476372;178.939949;139.294193;1401.443004;2.500547;80.000000;0.100000;1
4.223870;3.669172;149.936420;158.256919;1525.175811;4.815287;80.000000;0.100000;1
9.497262;0.375747;156.106346;82.707971;1216.061353;4.275040;80.000000;0.100000;1
1.857722;2.185896;193.979809;89.636651;1226.584140;4.270198;80.000000;0.100000;1
2.623419;3.029459;173.597233;93.233280;1305.063274;4.495271;80.000000;0.100000;1
1.082490;4.978293;184.243242;150.141204;1581.230714;4.976664;80.000000;0.100000;0
