pressure_time;pressure_radius;pressure_amplitude;young;density;strength;length;diameter;is_broken
6.698034;2.208668;5.769461;91.415538;1269.786997;4.626593;80.000000;0.100000;0
3.443314;2.341524;3.534931;91.157978;1303.461027;3.678846;80.000000;0.100000;0
5.681790;0.326231;3.913968;152.956755;1567.475335;4.387403;80.000000;0.100000;0
2.214284;0.701885;4.328798;147.679159;1212.406249;4.191044;80.000000;0.100000;0
4.886378;1.678453;1.941706;168.719167;1292.056853;4.194389;80.000000;0.100000;0
8.563040;2.048663;7.182251;90.107993;1420.500306;2.472370;80.000000;0.100000;0
2.180511;2.290032;9.203188;152.843689;1500.209270;3.665128;80.000000;0.100000;0
8.041268;1.731689;2.251881;89.537368;1324.454576;5.211603;80.000000;0.100000;0
6.653898;2.431077;5.834502;169.054543;1404.584276;3.980506;80.000000;0.100000;0
3.560088;2.081906;4.312693;139.446392;1481.568294;3.032308;80.000000;0.100000;0
5.288536;0.726596;6.364903;94.048793;1536.261909;2.637476;80.000000;0.100000;0
2.448694;1.595211;2.123473;105.777365;1497.358480;5.378695;80.000000;0.100000;0
9.313619;2.238860;1.958323;155.392730;1453.159243;5.762435;80.000000;0.100000;0
4.860172;2.234853;1.492447;84.583594;1436.872134;2.853677;80.000000;0.100000;0
9.679175;1.748918;1.648220;132.519166;1485.040133;2.162948;80.000000;0.100000;0
2.258216;2.020734;3.493239;168.004023;1383.849439;3.427606;80.000000;0.100000;0
9.478284;1.862379;1.616630;110.924296;1396.334956;3.488127;80.000000;0.100000;0
1.012113;2.182760;7.832371;145.833484;1436.342266;5.797267;80.000000;0.100000;0
1.603930;2.109258;4.785990;118.605200;1586.276593;5.814989;80.000000;0.100000;0
2.273327;2.419807;7.603172;148.410967;1253.159770;5.597232;80.000000;0.100000;0
2.772646;0.372693;8.952833;107.907786;1421.325772;5.285299;80.000000;0.100000;0
9.318918;1.041752;7.195688;149.784084;1595.742610;5.238587;80.000000;0.100000;0
4.612190;0.865699;2.375316;97.877409;1320.512759;4.865219;80.000000;0.100000;0
1.616159;1.817787;7.368225;90.512877;1323.821256;5.689127;80.000000;0.100000;0
4.172975;2.411859;1.062769;122.813252;1597.716338;4.418486;80.000000;0.100000;0
8.143791;2.300374;4.577405;146.686393;1393.311595;2.798791;80.000000;0.100000;0
1.020535;0.849274;2.200944;144.158777;1327.004845;3.537983;80.000000;0.100000;0
9.040127;2.212316;1.912193;83.494759;1209.604505;5.359296;80.000000;0.100000;0
6.932843;1.046297;2.887899;118.681903;1297.179525;4.594090;80.000000;0.100000;0
1.850245;1.663014;5.392265;116.166361;1556.681110;4.812640;80.000000;0.100000;0
7.289981;0.800542;2.844716;166.987950;1303.210893;4.183107;80.000000;0.100000;0
3.922319;1.249662;5.554185;99.240494;1556.612816;4.592551;80.000000;0.100000;0
1.153151;0.922978;3.169310;103.855018;1519.844190;2.375194;80.000000;0.100000;0
8.021948;0.625668;3.410289;130.805344;1305.761427;4.077820;80.000000;0.100000;0
7.950713;0.971491;1.255354;171.621711;1239.693394;3.656835;80.000000;0.100000;0
2.128621;0.357302;6.545351;121.153652;1519.253004;3.872561;80.000000;0.100000;0
9.436140;0.182083;2.804264;144.813921;1587.639185;5.764163;80.000000;0.100000;0
8.566368;1.653057;4.393611;132.086315;1553.335937;5.179914;80.000000;0.100000;0
9.302208;1.744605;3.617569;179.860993;1385.757760;3.704163;80.000000;0.100000;0
4.655890;1.023153;5.083267;109.426435;1416.177670;3.924557;80.000000;0.100000;0
8.885089;1.776641;7.041902;173.104546;1583.616626;4.295434;80.000000;0.100000;0
3.326169;2.441070;6.341987;126.585409;1352.374270;3.638953;80.000000;0.100000;0
7.744340;2.470203;6.018403;141.126326;1565.313583;2.675443;80.000000;0.100000;0
6.512124;1.450551;7.517548;145.106752;1346.046081;5.032291;80.000000;0.100000;0
1.429307;0.678707;7.391967;158.628228;1559.839381;5.202651;80.000000;0.100000;0
4.894626;1.049339;9.955690;99.175757;1220.879446;5.386554;80.000000;0.100000;0
8.347467;1.126381;9.042963;146.639307;1560.244239;3.807211;80.000000;0.100000;0
4.498473;1.157085;7.125832;118.620558;1278.407796;3.363960;80.000000;0.100000;0
8.800295;0.532200;4.986170;92.792009;1240.000566;5.028271;80.000000;0.100000;0
2.645396;2.276226;6.848100;169.662246;1365.177436;5.179184;80.000000;0.100000;0
5.233644;0.562329;8.449504;116.272971;1507.863200;2.176002;80.000000;0.100000;0
2.652726;1.229337;5.099076;93.589227;1466.481453;2.515914;80.000000;0.100000;0
9.040511;1.086864;7.469549;136.956681;1495.316491;2.894524;80.000000;0.100000;0
1.774610;0.724856;9.803637;172.650689;1537.928089;3.294292;80.000000;0.100000;0
9.188611;2.075838;5.080803;87.071799;1568.448493;2.596011;80.000000;0.100000;0
5.543089;2.407266;7.075353;129.925044;1385.761441;2.315350;80.000000;0.100000;0
8.428872;1.057603;9.289973;142.929595;1361.082266;4.800647;80.000000;0.100000;0
4.697605;1.281290;2.229973;158.694983;1321.397374;4.307056;80.000000;0.100000;0
7.380161;0.184808;8.847451;99.064555;1460.105161;3.505287;80.000000;0.100000;0
3.829489;1.606295;5.345562;140.166409;1454.476892;2.843453;80.000000;0.100000;0
8.514044;0.191701;8.480005;170.190841;1319.581780;2.080182;80.000000;0.100000;0
7.422113;2.027679;2.458938;113.216522;1584.865884;4.270830;80.000000;0.100000;0
1.148113;0.298603;4.957387;128.960296;1347.603041;4.717472;80.000000;0.100000;0
3.918986;1.785171;1.738069;118.989718;1416.535426;5.140511;80.000000;0.100000;0
1.440550;1.417754;7.947893;105.136187;1339.992373;5.101536;80.000000;0.100000;0
4.108993;0.669796;6.535397;164.320262;1542.769389;2.661776;80.000000;0.100000;0
4.269465;1.736833;4.120937;89.985290;1505.640055;2.140862;80.000000;0.100000;0
3.943472;0.333103;8.282447;168.325303;1502.914176;2.187270;80.000000;0.100000;0
4.071636;1.310488;4.376382;175.590137;1339.002498;5.375050;80.000000;0.100000;0
4.611434;1.084613;5.581994;94.804190;1333.212017;5.344640;80.000000;0.100000;0
9.313054;2.095284;7.887868;175.142987;1498.148842;5.967360;80.000000;0.100000;0
7.226692;0.301524;5.335283;123.818432;1476.931265;5.226815;80.000000;0.100000;0
2.076117;1.063139;5.630515;111.499756;1374.256374;4.811933;80.000000;0.100000;0
8.163478;0.526780;9.423708;107.475303;1402.629249;5.331956;80.000000;0.100000;0
7.950844;0.647140;5.885250;93.933455;1242.450051;5.350833;80.000000;0.100000;0
4.714291;1.729385;5.064709;94.332850;1374.579468;4.478213;80.000000;0.100000;0
4.100719;1.394433;6.417738;143.744687;1424.346313;2.913240;80.000000;0.100000;0
7.599336;2.187004;7.018551;129.443227;1588.997162;3.407528;80.000000;0.100000;0
5.598492;0.829751;6.200077;114.964094;1451.031582;3.188841;80.000000;0.100000;0
4.722738;2.125063;6.416909;87.417518;1425.149722;3.712826;80.000000;0.100000;0
7.392351;2.126300;1.389669;94.402801;1561.140887;5.096519;80.000000;0.100000;0
1.199293;1.736583;4.430711;172.194761;1232.558369;3.829242;80.000000;0.100000;0
5.447093;2.000361;8.891478;106.718705;1470.077478;3.712830;80.000000;0.100000;0
1.923402;0.592961;7.240814;147.525888;1250.708599;4.901933;80.000000;0.100000;0
3.862635;2.083051;1.712932;104.295606;1392.601011;5.629082;80.000000;0.100000;0
5.065969;1.737261;1.051069;93.643839;1374.880893;4.164485;80.000000;0.100000;0
5.736161;2.101382;8.960712;80.455056;1444.369992;4.693836;80.000000;0.100000;0
8.029321;2.158526;9.022387;149.919500;1310.389124;4.683882;80.000000;0.100000;0
3.431415;0.306391;1.827087;168.585917;1391.113586;3.435734;80.000000;0.100000;0
4.057928;0.695893;8.780898;99.340837;1385.837253;4.596726;80.000000;0.100000;0
6.953046;0.156365;2.651652;110.865096;1366.714420;5.092599;80.000000;0.100000;0
9.256753;1.157784;7.342145;157.663010;1337.132513;3.685773;80.000000;0.100000;0
4.617780;1.559549;1.233173;103.447009;1541.471502;3.804292;80.000000;0.100000;0
6.957318;0.560716;6.140539;122.921614;1410.750163;2.579100;80.000000;0.100000;0
9.807790;2.207646;8.643223;147.252504;1597.962785;5.607188;80.000000;0.100000;0
5.198816;1.990383;5.092921;112.529765;1243.528330;5.741735;80.000000;0.100000;0
8.935617;0.173997;9.754279;121.887033;1459.364145;2.037997;80.000000;0.100000;0
1.799394;2.416832;8.440484;159.641382;1494.821019;2.120971;80.000000;0.100000;0
4.095314;0.383097;9.533228;100.329484;1361.281756;3.842533;80.000000;0.100000;0
2.298151;1.061111;7.569310;170.767358;1345.138524;5.954331;80.000000;0.100000;0
9.964920;1.100414;2.549390;138.307874;1567.916254;5.599007;80.000000;0.100000;0
5.237449;2.051787;8.114886;127.571598;1586.082468;5.183393;80.000000;0.100000;0
4.643875;0.456007;9.087599;132.972076;1259.087748;3.121291;80.000000;0.100000;0
5.915611;1.021081;6.763621;143.988198;1545.924269;2.076119;80.000000;0.100000;0
4.204908;0.966067;6.866187;97.019462;1586.398413;3.534217;80.000000;0.100000;0
4.244501;0.718437;1.986182;166.575661;1583.382343;3.067799;80.000000;0.100000;0
9.067952;0.540523;2.318689;126.929803;1290.071941;2.617289;80.000000;0.100000;0
9.966581;0.828132;2.089891;94.278493;1298.826530;4.975261;80.000000;0.100000;0
2.106213;1.878811;7.186162;146.900799;1450.304044;5.461057;80.000000;0.100000;0
4.266950;0.812873;4.809958;177.826505;1585.880455;5.922268;80.000000;0.100000;0
9.547868;0.304270;5.369003;123.270778;1418.140414;5.234842;80.000000;0.100000;0
1.678587;0.424264;7.907836;153.085630;1585.931339;5.395972;80.000000;0.100000;0
2.011556;1.073209;5.081115;98.413196;1277.348607;5.639352;80.000000;0.100000;0
4.470569;0.786915;3.654442;123.781075;1362.629668;4.567601;80.000000;0.100000;0
9.358386;2.437437;4.601912;151.547908;1285.701225;5.407058;80.000000;0.100000;0
1.185342;2.391359;1.522201;84.073259;1352.375973;3.542236;80.000000;0.100000;0
1.775920;1.204400;8.740691;88.104107;1443.847206;5.601769;80.000000;0.100000;0
6.926131;0.999813;4.957388;171.903454;1552.895377;3.504116;80.000000;0.100000;0
1.718209;0.535734;2.282379;174.960357;1396.677355;3.904553;80.000000;0.100000;0
4.708854;0.176315;9.571268;91.610608;1595.703376;4.861246;80.000000;0.100000;0
9.328632;1.713049;4.640514;171.898451;1369.280349;4.498900;80.000000;0.100000;0
1.074186;1.075622;8.823430;144.254236;1291.499280;2.927320;80.000000;0.100000;0
9.914556;0.336073;5.195966;153.420218;1465.008848;3.601161;80.000000;0.100000;0
9.779854;1.748344;7.532230;178.381751;1366.560931;3.071170;80.000000;0.100000;0
6.724198;0.132214;8.790743;106.121765;1362.096833;2.600429;80.000000;0.100000;0
7.419443;1.273912;9.854585;144.202959;1292.599591;2.379460;80.000000;0.100000;0
4.888504;0.288640;4.775533;118.526460;1553.195748;3.177783;80.000000;0.100000;0
8.281138;2.275326;4.853433;120.808019;1552.584652;4.130813;80.000000;0.100000;0
