pressure_time;pressure_radius;pressure_amplitude;young;density;strength;length;diameter;is_broken
4.426360;4.505401;154.821238;125.000000;1430.000000;4.000000;87.405471;0.190712;1
2.156920;2.653368;127.982795;125.000000;1430.000000;4.000000;47.119240;0.134029;1
2.232028;4.856504;199.017200;125.000000;1430.000000;4.000000;73.358666;0.198631;1
5.221274;4.692233;104.121917;125.000000;1430.000000;4.000000;55.231250;0.106344;1
3.157296;2.717512;170.467245;125.000000;1430.000000;4.000000;72.664783;0.103837;1
3.273765;1.996082;187.076640;125.000000;1430.000000;4.000000;75.420274;0.172109;1
2.378738;2.230798;108.625511;125.000000;1430.000000;4.000000;99.244717;0.137977;1
1.775069;0.646649;100.253107;125.000000;1430.000000;4.000000;50.599350;0.104336;1
4.748144;1.013212;194.197204;125.000000;1430.000000;4.000000;91.065063;0.118436;1
1.397288;4.264043;113.522440;125.000000;1430.000000;4.000000;40.596583;0.188642;0
2.855445;0.429758;130.509028;125.000000;1430.000000;4.000000;87.502834;0.179056;1
7.709520;2.990533;173.468318;125.000000;1430.000000;4.000000;57.553168;0.112873;1
9.701497;2.664571;109.512272;125.000000;1430.000000;4.000000;93.544556;0.172529;1
2.757338;2.085558;182.625811;125.000000;1430.000000;4.000000;89.851022;0.168331;1
2.122207;3.939163;178.257387;125.000000;1430.000000;4.000000;51.933896;0.136582;1
3.369194;3.869740;169.051424;125.000000;1430.000000;4.000000;75.261495;0.138663;1
7.157066;4.225166;181.925658;125.000000;1430.000000;4.000000;43.827823;0.170878;1
2.460744;0.129070;188.115902;125.000000;1430.000000;4.000000;85.791265;0.187194;1
5.756282;3.138519;121.568300;125.000000;1430.000000;4.000000;50.261011;0.180013;1
8.997083;3.489927;183.623186;125.000000;1430.000000;4.000000;55.666245;0.148029;1
3.245110;2.602945;107.019715;125.000000;1430.000000;4.000000;46.212259;0.199805;1
4.258732;3.862466;107.563425;125.000000;1430.000000;4.000000;86.318978;0.139823;1
1.187310;4.219288;184.162067;125.000000;1430.000000;4.000000;61.419292;0.122822;1
2.922957;4.920363;114.389082;125.000000;1430.000000;4.000000;99.981659;0.110674;1
9.541110;2.857481;114.725387;125.000000;1430.000000;4.000000;87.170273;0.156598;1
4.499775;4.794686;145.155353;125.000000;1430.000000;4.000000;68.048092;0.153992;1
8.274994;2.068315;101.610647;125.000000;1430.000000;4.000000;72.086902;0.168332;1
5.968371;1.488390;110.435906;125.000000;1430.000000;4.000000;61.953640;0.165937;1
1.073643;0.555283;187.559542;125.000000;1430.000000;4.000000;87.900449;0.198305;0
