pressure_time;pressure_radius;pressure_amplitude;young;density;strength;length;diameter;is_broken
7.755162;0.606656;8.508808;125.000000;1430.000000;4.000000;47.495182;0.181363;0
4.916095;1.650808;3.821458;125.000000;1430.000000;4.000000;61.845136;0.104216;0
1.100188;1.168241;4.480697;125.000000;1430.000000;4.000000;77.379714;0.169139;0
9.446865;1.888511;2.167232;125.000000;1430.000000;4.000000;69.367404;0.168976;0
7.055870;1.872152;1.086006;125.000000;1430.000000;4.000000;76.078483;0.124318;0
2.849705;0.925171;7.328734;125.000000;1430.000000;4.000000;71.401746;0.195929;0
1.471861;1.357769;8.800349;125.000000;1430.000000;4.000000;70.378829;0.107571;0
6.806859;0.526874;6.631588;125.000000;1430.000000;4.000000;46.649056;0.160702;0
4.190397;0.267165;9.651592;125.000000;1430.000000;4.000000;92.741630;0.179345;0
6.638499;1.537822;9.987218;125.000000;1430.000000;4.000000;69.001611;0.128083;0
6.899518;1.166397;4.057510;125.000000;1430.000000;4.000000;46.368718;0.163493;0
2.560781;1.522091;8.301040;125.000000;1430.000000;4.000000;77.336858;0.197541;0
2.759567;1.705796;7.002960;125.000000;1430.000000;4.000000;97.757881;0.128263;0
3.881693;1.129889;2.608023;125.000000;1430.000000;4.000000;54.177742;0.181347;0
2.111125;0.973156;8.652759;125.000000;1430.000000;4.000000;71.692959;0.172850;0
6.860971;0.111137;5.435650;125.000000;1430.000000;4.000000;47.575801;0.146294;0
8.302200;2.113716;2.926967;125.000000;1430.000000;4.000000;82.537757;0.173794;0
6.877033;0.397860;4.582940;125.000000;1430.000000;4.000000;78.789457;0.138305;0
7.649570;0.926089;1.145903;125.000000;1430.000000;4.000000;89.376891;0.125039;0
7.348949;1.698023;4.383410;125.000000;1430.000000;4.000000;86.357692;0.172579;0
3.917126;1.905627;2.970831;125.000000;1430.000000;4.000000;64.199881;0.116993;0
1.591665;1.340336;9.757313;125.000000;1430.000000;4.000000;82.027211;0.121547;0
5.675141;1.635167;3.290685;125.000000;1430.000000;4.000000;96.524094;0.103696;0
8.225649;1.673470;6.900550;125.000000;1430.000000;4.000000;50.642156;0.144280;0
2.766360;0.334611;6.141922;125.000000;1430.000000;4.000000;96.607393;0.165150;0
9.307850;1.439487;9.300786;125.000000;1430.000000;4.000000;47.491280;0.150729;0
5.237357;1.521281;1.757730;125.000000;1430.000000;4.000000;65.517173;0.142194;0
7.506365;0.436264;7.208167;125.000000;1430.000000;4.000000;73.400625;0.163881;0
9.055723;1.623645;3.838620;125.000000;1430.000000;4.000000;69.080818;0.182929;0
4.812585;2.127848;9.286088;125.000000;1430.000000;4.000000;95.663433;0.183492;0
6.331798;1.370321;6.999312;125.000000;1430.000000;4.000000;59.664699;0.139829;0
9.820620;0.969699;7.955645;125.000000;1430.000000;4.000000;81.247936;0.113322;0
8.048785;2.300594;4.850705;125.000000;1430.000000;4.000000;52.668356;0.177623;0
6.203318;0.287846;1.105797;125.000000;1430.000000;4.000000;55.609407;0.155894;0
4.128749;1.691924;4.933496;125.000000;1430.000000;4.000000;54.379840;0.155559;0
4.324040;1.615279;2.832672;125.000000;1430.000000;4.000000;52.952448;0.139373;0
2.945163;0.555574;6.923368;125.000000;1430.000000;4.000000;73.890716;0.116285;0
7.072458;0.168614;8.270166;125.000000;1430.000000;4.000000;94.030856;0.134417;0
