0,0,0,0,0
98,98,98,98,1
0,65,98,98,0
98,98,0,61,1
67,98,0,96,1
61,0,98,21,0
12,98,0,55,1
41,0,23,97,1
0,98,69,0,0
0,59,5,76,1
98,51,98,98,1
98,0,97,98,0
1,0,52,68,0
50,71,98,42,0
31,38,50,4,0
0,71,44,57,0
98,52,92,0,0
98,2,44,0,0
98,35,59,56,1
47,30,78,86,0
59,0,40,48,0
98,30,73,52,0
0,73,15,0,0
62,98,65,0,0
51,98,98,97,1
55,9,8,2,0
98,73,0,0,1
98,51,5,0,0
98,98,90,35,0
41,98,98,88,1
0,29,17,41,0
0,38,23,98,1
26,98,77,74,1
77,56,48,21,0
0,40,38,98,1
21,98,80,70,0
4,42,52,98,0
83,60,98,81,1
98,24,20,40,1
98,94,31,0,0
51,63,13,0,0
32,98,32,28,1
0,98,46,98,1
29,90,40,23,0
90,0,52,83,1
87,45,98,88,1
28,35,53,51,0
49,74,98,97,1
46,71,98,94,1
98,0,0,12,1
76,0,60,85,0
78,54,98,74,1
45,70,98,88,1
0,86,55,98,1
34,0,51,98,0
98,4,0,0,0
42,68,98,85,1
85,39,98,84,1
90,64,98,59,0
98,24,33,36,1
58,98,65,43,1
19,38,0,2,0
0,98,0,42,1
34,98,0,14,1
33,98,0,9,1
31,98,0,5,1
31,98,1,0,0
40,66,98,83,0
0,84,61,97,0
28,0,17,31,0
0,0,24,98,0
53,98,67,40,0
72,98,0,1,1
98,10,39,40,0
82,34,97,84,1
61,44,73,51,0
81,32,98,81,0
70,98,98,62,1
62,98,22,13,1
61,98,24,10,0
30,0,26,69,0
89,91,54,29,1
79,28,22,19,0
30,70,67,50,0
16,56,32,27,0
0,98,17,29,0
87,91,56,26,0
54,98,98,68,1
69,98,98,59,1
69,98,98,57,1
0,0,7,61,0
2,27,29,75,0
52,98,98,65,1
97,63,68,41,1
98,62,70,38,0
69,98,97,53,0
55,30,44,31,0
18,61,72,82,0
30,96,98,98,1
27,94,98,98,1
25,93,98,98,1
23,92,98,98,1
21,92,98,98,1
19,98,51,52,1
18,97,98,98,1
15,96,98,98,0
45,62,47,29,0
48,17,50,73,1
81,80,6,0,0
17,98,53,51,0
45,15,52,71,0
43,35,18,15,0
98,68,25,21,1
98,68,27,19,1
98,66,27,17,1
68,40,0,2,1
67,38,1,1,0
0,53,4,23,1
72,18,61,58,0
98,18,75,82,1
68,0,17,28,0
98,67,28,16,1
98,15,76,79,1
98,13,76,78,1
60,47,98,98,1
98,11,77,77,0
98,66,28,14,0
2,4,0,31,0
0,20,0,88,1
21,0,1,88,1
68,71,67,39,0
98,39,49,35,0
59,45,98,98,1
0,51,7,21,0
